ID,C_x1ANx94e2aff24d44ad8,C_x1ANxD265003d7331d86,C_x2ANxE8d62589cd45dce,C_CreationDate,C_CrIdentity,C_Id,C_LifeCycleStd,C_OrderedDate,C_Uuid,U_PlcTotalNetValueCurrency,K_PlcTotalNetValue,NodeId,Count
.9~0000000000011ED088D99CC1C85A3EBB,,,/Date(1295333226000)/,/Date(1295308800000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000014,10,/Date(1295308800000)/,00000000-0001-1ED0-88D9-9CC1C85A3EBB,,0.000000,0000000000011ED088D99CC1C85A3EBB,1
.9~0000000000011ED088D9A2617E039EC2,,,/Date(1295333252000)/,/Date(1295308800000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000015,10,/Date(1295308800000)/,00000000-0001-1ED0-88D9-A2617E039EC2,,0.000000,0000000000011ED088D9A2617E039EC2,1
.9~0000000000011ED08FB008D2A18129C6,,,/Date(1688355332000)/,/Date(1298246400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000041,10,/Date(1298246400000)/,00000000-0001-1ED0-8FB0-08D2A18129C6,,0.000000,0000000000011ED08FB008D2A18129C6,1
.9~0000000000011ED096F43259E5894BB8,,,/Date(1301582850000)/,/Date(1301529600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000051,10,/Date(1301529600000)/,00000000-0001-1ED0-96F4-3259E5894BB8,,0.000000,0000000000011ED096F43259E5894BB8,1
.9~0000000000011ED09C944E543612959B,,,/Date(1303891077000)/,/Date(1303862400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000071,10,/Date(1303862400000)/,00000000-0001-1ED0-9C94-4E543612959B,,0.000000,0000000000011ED09C944E543612959B,1
.9~0000000000011ED09C95272F9383D7EC,,,/Date(1303893828000)/,/Date(1303862400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000072,10,/Date(1303862400000)/,00000000-0001-1ED0-9C95-272F9383D7EC,,0.000000,0000000000011ED09C95272F9383D7EC,1
.9~0000000000011ED09C955FBC31C3588E,,,/Date(1304576837000)/,/Date(1303862400000)/,00000000-0001-1DDF-BAE0-D57ABA6E49A5,00000000000000000000000000000000073,10,/Date(1303862400000)/,00000000-0001-1ED0-9C95-5FBC31C3588E,,0.000000,0000000000011ED09C955FBC31C3588E,1
.9~0000000000011ED09C95B67F2ED4593B,,,/Date(1303895738000)/,/Date(1303862400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000074,10,/Date(1303862400000)/,00000000-0001-1ED0-9C95-B67F2ED4593B,,0.000000,0000000000011ED09C95B67F2ED4593B,1
.9~0000000000011ED09C96065CB793DA35,,,/Date(1303896886000)/,/Date(1303862400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000075,10,/Date(1303862400000)/,00000000-0001-1ED0-9C96-065CB793DA35,,0.000000,0000000000011ED09C96065CB793DA35,1
.9~0000000000011ED09C9620F51E0BDA7F,,,/Date(1303897717000)/,/Date(1303862400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000076,10,/Date(1303862400000)/,00000000-0001-1ED0-9C96-20F51E0BDA7F,,0.000000,0000000000011ED09C9620F51E0BDA7F,1
.9~0000000000011ED0A09E8D715BD2CE1E,,,/Date(1305685438000)/,/Date(1305676800000)/,00000000-0001-1DDF-BAE0-D57ABA6E49A5,00000000000000000000000000000000081,10,/Date(1305676800000)/,00000000-0001-1ED0-A09E-8D715BD2CE1E,,0.000000,0000000000011ED0A09E8D715BD2CE1E,1
.9~0000000000011ED0A09ED83D71E38EE6,,,/Date(1305686602000)/,/Date(1305676800000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000082,10,/Date(1305676800000)/,00000000-0001-1ED0-A09E-D83D71E38EE6,,0.000000,0000000000011ED0A09ED83D71E38EE6,1
